trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.48, 'e': 1.0}",30,0,-124.9158300931103,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.45999999999999996, 'e': 0.39851904108451414}",30,3,-157.11946575950626,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 2}",1
3,False,"{'a': 0.43999999999999995, 'e': 0.15881742610692068}",35,23,15.996980764277389,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.41999999999999993, 'e': 0.0632917683596407}",35,0,-75.31749325751768,"{0: 31, 1: 0, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.3999999999999999, 'e': 0.025222974835227212}",30,12,-72.16054066141845,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.3799999999999999, 'e': 0.010051835744633576}",20,2,-56.342295368750136,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 0}",1
7,False,"{'a': 0.3599999999999999, 'e': 0.004005847942090417}",30,13,26.40754097316043,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.33999999999999986, 'e': 0.0015964066806122474}",30,4,-80.49382539839415,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.31999999999999984, 'e': 0.0006361984595385052}",20,3,31.009317283031592,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.2999999999999998, 'e': 0.00025353720003472996}",20,0,23.871183209772443,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.2799999999999998, 'e': 0.00010103940183709324}",20,0,4.531463540628333,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.2599999999999998, 'e': 4.02661255318713e-05}",30,3,33.25440798482752,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.2399999999999998, 'e': 1.6046817735150026e-05}",25,18,8.31258619919805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.2199999999999998, 'e': 6.3949624162699644e-06}",20,1,28.010484720639802,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.19999999999999982, 'e': 2.548514289903414e-06}",20,14,7.8844175272437464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.17999999999999983, 'e': 1.0156314710024903e-06}",20,0,1.2773649858933334,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.15999999999999984, 'e': 4.0474847991916697e-07}",20,3,21.95199071944723,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.13999999999999985, 'e': 1.612999760978012e-07}",25,0,35.54042978197105,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.11999999999999984, 'e': 6.428111180145067e-08}",25,10,-64.24486368821462,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.09999999999999984, 'e': 2.5617247034960616e-08}",35,0,26.76496274350484,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-17.18728732310795,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,2,-16.007586146038502,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,4,-20.410891225919652,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,17.459316116213035,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,28.311519704882215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,27.18402725416137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,13,-14.852675368915147,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,0,19.905885928688296,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,39.54342211573632,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,0,22.227677416934466,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
