trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.48, 'e': 1.0}",25,14,-31.641662746037333,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.45999999999999996, 'e': 0.9801986733067553}",20,0,-147.73399836387304,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.43999999999999995, 'e': 0.9607894391523232}",20,0,-46.144259257865016,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.41999999999999993, 'e': 0.9417645335842487}",30,0,-189.837492762603,"{0: 17, 1: 2, 2: 4, 3: 6, 4: 1}",1
5,False,"{'a': 0.3999999999999999, 'e': 0.9231163463866358}",25,0,-122.72378092298342,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.3799999999999999, 'e': 0.9048374180359595}",25,0,-127.35056369591953,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
7,False,"{'a': 0.3599999999999999, 'e': 0.8869204367171575}",20,0,-197.66318671788886,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.33999999999999986, 'e': 0.8693582353988059}",20,0,-60.25469741983494,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.31999999999999984, 'e': 0.8521437889662113}",20,0,-179.86175697604685,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
10,False,"{'a': 0.2999999999999998, 'e': 0.835270211411272}",30,0,-224.57728232653818,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
11,False,"{'a': 0.2799999999999998, 'e': 0.8187307530779818}",25,0,-177.63908914483562,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.2599999999999998, 'e': 0.8025187979624785}",30,0,-185.362739469214,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.2399999999999998, 'e': 0.7866278610665535}",25,0,-197.40681016502734,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.2199999999999998, 'e': 0.7710515858035663}",25,0,-116.21014736542423,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.19999999999999982, 'e': 0.7557837414557255}",20,0,-75.58390378551326,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.19999999999999982, 'e': 0.7408182206817179}",20,0,-58.3586834021983,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.19999999999999982, 'e': 0.7261490370736909}",25,0,-151.69687618779332,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.19999999999999982, 'e': 0.7117703227626097}",20,0,-100.17043854337857,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.19999999999999982, 'e': 0.697676326071031}",30,0,-233.63778931093756,"{0: 11, 1: 6, 2: 9, 3: 2, 4: 2}",0
20,False,"{'a': 0.19999999999999982, 'e': 0.6838614092123558}",20,0,-106.55202290745159,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-61.673623943919175,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-38.2957033145694,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,1,-203.66973047765777,"{0: 10, 1: 6, 2: 4, 3: 1, 4: 3}",1
4,True,"{'a': 0, 'e': 0}",25,0,-222.84744204793745,"{0: 9, 1: 8, 2: 3, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-111.18593242560456,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-217.99928565774013,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-138.64039995354742,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-141.03573325309327,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-132.88266072541364,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-161.42437260308603,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
